cell,Enhc_bp,dnm_overlap,dnm_overlap_other_enhancers,Fold_enrichment,P_value,P_FDR
CD19+,48658702,430,4861,1.0733269899522493,0.08464070475255293,0.12333359835371999
SkMC,44051915,501,4790,1.4127414900282853,1.207013860938789e-12,4.1038471271918825e-12
Osteoblast,39645022,529,4762,1.6796067210822037,2.5590202780455657e-26,2.610200683606477e-25
Liver,40695707,351,4940,1.0447193498942362,0.22144636907266926,0.2895837134027214
Fetal_lung,55688424,760,4531,1.757123668549883,2.0891601175235177e-41,2.6636791498424854e-40
CD14+_monocyte,69445441,600,4691,1.0491212383593085,0.1393854188839294,0.19746267675223333
Spleen,34967758,304,4987,1.0531059405628094,0.1981170738702057,0.2658939675626445
HUVEC,114230537,964,4327,1.0235966681014446,0.2613459456605877,0.33321608071724934
Kidney,1095925,11,5280,1.2127642953821351,0.3026661322289356,0.3764871400896516
B_cell_blood,2754450,47,5244,2.07046669684874,5.753893428018339e-06,1.1737942593157411e-05
Macrophage,83010013,641,4650,0.9234024272067836,0.9729658770259859,0.9999828017634433
NHBE,22365579,272,5019,1.4943210367611606,6.759366454882964e-10,1.915153828883506e-09
Keratinocyte,84229983,782,4509,1.1424109085382295,0.0003775522560980521,0.0006876844664643091
Pancreas,36666954,484,4807,1.654164662993477,3.575183550319328e-23,3.038906017771429e-22
HCASMC,82133668,811,4480,1.2275012755568242,8.461340057390119e-08,2.1576417146344805e-07
Fetal_brain,73799119,1202,4089,2.2515813922443506,7.621348204845161e-116,3.886887584471032e-114
Plasma_cell_myeloma,13196483,161,5130,1.4884431051165983,1.6710888677900127e-06,3.551063844053777e-06
reproducible_craniofacial,92007086,1350,3941,2.0367513730565947,1.0093225557695613e-99,2.5737725172123813e-98
Adipocyte,13001186,190,5101,1.793629480275075,2.5812944517262127e-13,9.403286931288346e-13
CD8+,54970818,492,4799,1.0893408103801676,0.038398718200804365,0.05934347358306129
Kidney_cortex,6109405,119,5172,2.3837549616749687,1.2686822564254274e-16,5.882072279790618e-16
CD4+,25092840,208,5083,1.0012462176726493,0.5027566719586033,0.5827406879520174
CD36+,619694,8,5283,1.5601078820324101,0.14726708542783798,0.20298976640053343
Endometrial_stromal_cell,4753306,20,5271,0.5063406143216223,0.9997599853210132,0.9999828017634433
Th2,29460386,291,5000,1.204291415054779,0.0014500762600620563,0.002465129642105496
Trophoblast,41632826,505,4786,1.5141544188010996,2.8541937694227576e-17,1.4556388224056064e-16
CD34+,93255704,693,4598,0.8821215723600042,0.9991584221362011,0.9999828017634433
MSC_BM,94447098,975,4316,1.3026421402541988,2.331835259404788e-13,9.147969094588015e-13
Retina,12780649,203,5088,1.9550884626185785,1.3556520281033509e-17,8.642281679158863e-17
HSC,17769382,207,5084,1.4236052673052495,1.3114838131606274e-06,2.908072803095304e-06
NHEK,55583521,496,4795,1.0858574742436296,0.043652024681153714,0.06547803702173058
Fetal_kidney,20384498,392,4899,2.4285320923930787,7.663079174315768e-51,1.3027234596336804e-49
Osteobl,5885817,105,5186,2.178088378826147,1.4288731843167289e-12,4.5545332750095734e-12
Monocyte,49539821,420,4871,1.026072005092782,0.31349488532940495,0.3806723607571346
NHLF,18259117,255,5036,1.7215883941602077,3.2452497415681976e-15,1.379231140166484e-14
Denditric_cell,41986849,292,4999,0.8306467660115998,0.9992876856498739,0.9999828017634433
Fetal_heart,79162320,865,4426,1.382284431489766,2.6483406944711238e-17,1.4556388224056064e-16
SGBS_adipocyte,14426454,180,5111,1.5248763604373117,1.0365179447033966e-07,2.5172578657082493e-07
Heart,3304417,53,5238,1.946740073112015,8.422559074642086e-06,1.6521173569490245e-05
Cerebellum,28417101,336,4955,1.45715419235447,1.41653011121413e-10,4.2495903336423906e-10
Treg_cell,20212578,203,5088,1.2215553007226396,0.0036022944283148482,0.005926355349808299
CD20+,29907839,187,5104,0.7462323168592735,0.9999828017634433,0.9999828017634433
GC_B_cell,34412638,323,4968,1.1423718851699975,0.012124275111052664,0.019323063458240183
PrEC,1090157,32,5259,3.56090313713548,2.2453393322682857e-09,6.0269634708253984e-09
Melanocyte,1053924,21,5270,2.41227296853576,0.0002919017711248228,0.0005513700121246653
NHDF,25934817,347,4944,1.6592786337784222,1.260939262964176e-17,8.642281679158863e-17
CD14+,1354531,8,5283,0.7129233193648806,0.87040022092308,0.9650089405886322
CD133+,746137,6,5285,0.9712347395108902,0.5825004576599866,0.6601671853479848
NKC,4227610,36,5255,1.0287176767021233,0.45532060595092555,0.5400314163604001
Pancreatic_islet,16297296,174,5117,1.2994009470378751,0.0006041544614338247,0.0010624785356250022
Th1,41150181,430,4861,1.2853138033352371,7.928477446048594e-07,1.8379652261294466e-06
